运单编号,目的地,计费重量,总运费,备注
3307477597245,辽宁省,0.3,6.3,
3307477597233,湖北省,0.2,6.3,
3307477597208,山西省,0.35,6.3,
3307477597191,山东省,0.25,6.3,
3307483824965,河南省,0.2,6.3,
3307483824900,河北省,0.4,6.3,
3307483824959,广东省,1,6.3,
3307483824947,山东省,1.06,6.93,
3307483824935,广东省,0.3,6.3,
3307483824923,辽宁省,1,6.3,
3307483824911,江西省,0.85,6.3,
3307482712636,湖北省,0.45,6.3,
3307483824893,福建省,0.25,6.3,
3307483824881,山东省,0.2,6.3,
3307483824870,广东省,0.3,6.3,
3307482712650,河南省,0.3,6.3,
3307482712648,内蒙古自治区,0.25,6.3,
3307547795789,广东省,0.22,6.3,
3307523718460,辽宁省,1.05,6.93,
3307585203935,天津,0.37,6.3,
3307585203947,江西省,0.55,6.3,
3307523718501,河北省,1.11,7.56,
3307523718495,广东省,0.25,6.3,
3307523718483,天津,0.2,6.3,
3307523718471,广东省,0.45,6.3,
3307585203923,北京,0.25,6.3,
3307523718458,山东省,0.85,6.3,
3307523718446,广东省,0.6,6.3,
3307523718434,山东省,0.62,6.3,
3307523718422,福建省,0.34,6.3,
3307523718415,湖北省,0.4,6.3,
3307520352402,河南省,0.2,6.3,
3307520352396,河南省,0.2,6.3,
3307585203900,湖北省,0.34,6.3,
3307585203856,辽宁省,0.71,6.3,
3307585203868,天津,0.78,6.3,
3307585203870,北京,0.68,6.3,
3307585203881,山东省,0.28,6.3,
3307585203893,河北省,0.34,6.3,
3307585203911,北京,0.25,6.3,
3307528104401,广东省,0.2,6.3,
3307528104395,江西省,0.3,6.3,
3307528104383,福建省,0.65,6.3,
3307528104371,江苏省,0.52,4,
3307528104360,北京,0.2,6.3,
3307528104358,山东省,0.27,6.3,
3307600964299,广东省,0.6,6.3,
3307578962427,山东省,0.65,6.3,
3307600804954,广东省,1.2,7.56,
3307600964342,江西省,0.26,6.3,
3307578962397,山东省,0.6,6.3,
3307578962403,江苏省,1.35,5,
3307578962415,广西壮族自治区,0.5,6.3,
3307600804942,广东省,0.2,6.3,
3307578962439,河南省,0.2,6.3,
3307578962445,湖北省,0.4,6.3,
3307600804966,江苏省,0.36,4,
3307600804978,福建省,1.08,6.93,
3307600804980,北京,0.58,6.3,
3307520352384,广东省,0.2,6.3,
3307520352311,河北省,0.2,6.3,
3307520352372,江西省,0.45,6.3,
3307520352365,河北省,0.2,6.3,
3307520352359,广东省,0.5,6.3,
3307520352347,河南省,0.2,6.3,
3307520352335,河南省,0.45,6.3,
3307520352323,江苏省,0.5,4,
3307600804935,河南省,0.46,6.3,
3307600804905,河南省,0.5,6.3,
3307600804917,天津,0.48,6.3,
3307600804929,北京,0.45,6.3,
3307604085011,广东省,0.25,6.3,
3307604085023,湖北省,0.65,6.3,
3307604085035,山东省,0.2,6.3,
3307604085047,山东省,0.2,6.3,
3307580373682,天津,0.6,6.3,
3307580373750,福建省,0.35,6.3,
3307580373748,湖北省,0.57,6.3,
3307580373736,湖北省,2,12.6,
3307580373724,江苏省,0.35,4,
3307580373712,福建省,0.68,6.3,
3307580373705,山东省,0.62,6.3,
